 *************************************************************************
 ************		    FSM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Times of iteration:       209
 Computing time    :     44.08 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
  123    3.2707E+01   -3.7763E+01    3.7500E+01    4.2532E-04   -8.0257E-03    5.0597E-03
  124    3.2707E+01   -3.7763E+01    3.2500E+01    1.2739E-04   -8.6369E-03    5.1536E-03
  125    3.2707E+01   -3.7763E+01    2.7500E+01    6.2288E-05   -8.8844E-03    5.2592E-03
  126    3.2707E+01   -3.7763E+01    2.2500E+01    8.1990E-05   -8.8841E-03    5.2521E-03
  127    3.2707E+01   -3.7763E+01    1.7500E+01    1.8926E-05   -8.6350E-03    5.1310E-03
  128    3.2707E+01   -3.7763E+01    1.2500E+01   -2.7456E-04   -8.0193E-03    5.0179E-03
  129    3.2707E+01   -3.7763E+01    7.5000E+00   -8.5917E-04   -6.8137E-03    5.2574E-03
  130    3.2707E+01   -3.7763E+01    2.5000E+00   -1.3294E-03   -4.6840E-03    6.9747E-03
  131    3.5677E+01   -3.4971E+01    4.7500E+01    1.4692E-03   -3.4279E-03    9.6902E-03
  132    3.5677E+01   -3.4971E+01    4.2500E+01    1.2604E-03   -5.2386E-03    7.0394E-03
  133    3.5677E+01   -3.4971E+01    3.7500E+01    7.1673E-04   -6.3374E-03    6.3115E-03
  134    3.5677E+01   -3.4971E+01    3.2500E+01    3.4868E-04   -6.9465E-03    6.1213E-03
  135    3.5677E+01   -3.4971E+01    2.7500E+01    1.3999E-04   -7.2103E-03    6.0894E-03
  136    3.5677E+01   -3.4971E+01    2.2500E+01   -8.1811E-06   -7.2090E-03    6.0830E-03
  137    3.5677E+01   -3.4971E+01    1.7500E+01   -2.1515E-04   -6.9417E-03    6.1014E-03
  138    3.5677E+01   -3.4971E+01    1.2500E+01   -5.7911E-04   -6.3260E-03    6.2749E-03
  139    3.5677E+01   -3.4971E+01    7.5000E+00   -1.1138E-03   -5.2127E-03    6.9787E-03
