 **************************************************************************************
 ************		        DDFS3D_tri_part1		             **********
 ************	             Algorithm developed by                          **********
 ************	   Kuriyama et al.(1993 & 1995), Tang et al. (2019)          **********
 ************			and Wong and Cui (2021)		             **********
 ************	      Codes developed by Wong and Cui (2021)	             **********
 ************ incorporating the contribution of Kuriyama et al.(1993 & 1995) **********
 ************	          DDFS3D (version 1.0), 31-5-2021		     **********
 **************************************************************************************
 Title: Flawed Brazilian disk(section S3-3 of the companion paper)to verify the triangular element                                
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3576
 Number of nodes   :      1794
 Times of iteration:        79
 Computing time    :    258.79 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
  139    1.4217E+01   -4.7899E+01    1.2963E+01    1.6628E+00   -1.1882E+01   -2.6716E+00
  140    1.5498E+01   -4.7500E+01    1.4815E+01   -1.2567E+00    1.0910E+01   -1.3630E+00
  141    1.4217E+01   -4.7899E+01    7.4074E+00    2.0394E+00   -1.1931E+01   -5.1372E+00
  142    1.5498E+01   -4.7500E+01    9.2593E+00   -1.7021E+00    1.1018E+01   -3.0667E+00
  143    1.4217E+01   -4.7899E+01    1.8519E+00    4.5012E-01   -1.0814E+01   -1.1118E+01
  144    1.5498E+01   -4.7500E+01    3.7037E+00   -1.1947E+00    1.0525E+01   -6.7411E+00
  145    1.8025E+01   -4.6599E+01    4.6296E+01   -3.8894E-01   -8.3089E+00   -5.4047E+00
  146    1.9270E+01   -4.6098E+01    4.8148E+01   -2.8444E-01    7.2639E+00   -5.5757E+00
  147    1.8025E+01   -4.6599E+01    4.0741E+01   -1.1047E+00   -9.0470E+00   -2.8248E+00
  148    1.9270E+01   -4.6098E+01    4.2593E+01    8.3688E-01    8.2789E+00   -2.5876E+00
  149    1.8025E+01   -4.6599E+01    3.5185E+01   -9.2412E-01   -9.0980E+00   -1.4534E+00
  150    1.9270E+01   -4.6098E+01    3.7037E+01    8.8751E-01    8.5012E+00   -1.0947E+00
  151    1.8025E+01   -4.6599E+01    2.9630E+01   -4.2966E-01   -9.0323E+00   -7.9813E-01
  152    1.9270E+01   -4.6098E+01    3.1481E+01    5.3311E-01    8.4718E+00   -3.1327E-01
  153    1.8025E+01   -4.6599E+01    2.4074E+01    1.4627E-01   -9.0128E+00   -6.4538E-01
  154    1.9270E+01   -4.6098E+01    2.5926E+01    4.3083E-02    8.4414E+00   -3.0964E-02
  155    1.8025E+01   -4.6599E+01    1.8519E+01    7.2092E-01   -9.0629E+00   -9.4332E-01
  156    1.9270E+01   -4.6098E+01    2.0370E+01   -4.6736E-01    8.4677E+00   -1.6204E-01
  157    1.8025E+01   -4.6599E+01    1.2963E+01    1.1882E+00   -9.1385E+00   -1.8005E+00
  158    1.9270E+01   -4.6098E+01    1.4815E+01   -9.0932E-01    8.5322E+00   -7.4909E-01
  159    1.8025E+01   -4.6599E+01    7.4074E+00    1.2490E+00   -8.9889E+00   -3.5109E+00
  160    1.9270E+01   -4.6098E+01    9.2593E+00   -1.0866E+00    8.4856E+00   -1.9718E+00
  161    1.8025E+01   -4.6599E+01    1.8519E+00    6.3937E-02   -7.9472E+00   -7.2061E+00
  162    1.9270E+01   -4.6098E+01    3.7037E+00   -5.8275E-01    7.8765E+00   -4.2950E+00
  163    2.1716E+01   -4.4998E+01    4.6296E+01    1.1027E-02   -6.3682E+00   -3.1834E+00
  164    2.2917E+01   -4.4398E+01    4.8148E+01   -4.4931E-01    5.5927E+00   -2.9516E+00
  165    2.1716E+01   -4.4998E+01    4.0741E+01   -5.9671E-01   -7.1101E+00   -1.6694E+00
  166    2.2917E+01   -4.4398E+01    4.2593E+01    3.6424E-01    6.5004E+00   -1.3266E+00
  167    2.1716E+01   -4.4998E+01    3.5185E+01   -5.9436E-01   -7.2822E+00   -7.4559E-01
  168    2.2917E+01   -4.4398E+01    3.7037E+01    5.2444E-01    6.8196E+00   -3.8206E-01
  169    2.1716E+01   -4.4998E+01    2.9630E+01   -2.9073E-01   -7.2803E+00   -2.5902E-01
  170    2.2917E+01   -4.4398E+01    3.1481E+01    3.4535E-01    6.8693E+00    1.7329E-01
  171    2.1716E+01   -4.4998E+01    2.4074E+01    1.2241E-01   -7.2749E+00   -1.4105E-01
  172    2.2917E+01   -4.4398E+01    2.5926E+01    1.4117E-02    6.8674E+00    3.8688E-01
  173    2.1716E+01   -4.4998E+01    1.8519E+01    5.2612E-01   -7.2993E+00   -3.7271E-01
  174    2.2917E+01   -4.4398E+01    2.0370E+01   -3.4241E-01    6.8812E+00    2.8612E-01
  175    2.1716E+01   -4.4998E+01    1.2963E+01    7.8767E-01   -7.2910E+00   -9.9933E-01
  176    2.2917E+01   -4.4398E+01    1.4815E+01   -6.1068E-01    6.8841E+00   -1.4689E-01
  177    2.1716E+01   -4.4998E+01    7.4074E+00    6.9135E-01   -7.0153E+00   -2.1194E+00
  178    2.2917E+01   -4.4398E+01    9.2593E+00   -6.2899E-01    6.7255E+00   -9.7016E-01
