 *************************************************************************
 ************		    FSM3D_tri_part1		        **********
 ************	      Algorithm developed by                    **********
 ************	  Kuriyama et al.(1995) and Wong & Cui (2021)   **********
 ************	   Codes developed by Wong & Cui (2021)	        **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section S3-2 of the companion paper)to verify the triangular element                                  
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3504
 Number of nodes   :      1754
 Times of iteration:       239
 Computing time    :    321.10 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
  195    3.7617E+01   -3.2884E+01    7.4074E+00   -1.3787E-03   -4.4072E-03    7.1492E-03
  196    3.8487E+01   -3.1862E+01    9.2593E+00    1.1532E-03    4.3407E-03    7.3363E-03
  197    3.7617E+01   -3.2884E+01    1.8519E+00   -1.5220E-03   -2.5691E-03    1.1003E-02
  198    3.8487E+01   -3.1862E+01    3.7037E+00    1.6180E-03    2.8219E-03    9.6443E-03
  199    4.0141E+01   -2.9750E+01    4.6296E+01    1.8345E-03   -2.3152E-03    1.0722E-02
  200    4.0926E+01   -2.8661E+01    4.8148E+01   -1.5198E-03    1.2216E-03    1.3925E-02
  201    4.0141E+01   -2.9750E+01    4.0741E+01    1.4024E-03   -3.6455E-03    7.9218E-03
  202    4.0926E+01   -2.8661E+01    4.2593E+01   -1.6023E-03    2.8239E-03    9.0502E-03
  203    4.0141E+01   -2.9750E+01    3.5185E+01    8.3794E-04   -4.4940E-03    6.9870E-03
  204    4.0926E+01   -2.8661E+01    3.7037E+01   -1.0187E-03    3.7885E-03    7.7071E-03
  205    4.0141E+01   -2.9750E+01    2.9630E+01    3.7845E-04   -4.9424E-03    6.6419E-03
  206    4.0926E+01   -2.8661E+01    3.1481E+01   -5.2645E-04    4.3407E-03    7.2004E-03
  207    4.0141E+01   -2.9750E+01    2.4074E+01   -1.2055E-05   -5.0548E-03    6.5678E-03
  208    4.0926E+01   -2.8661E+01    2.5926E+01   -1.1369E-04    4.5532E-03    7.0442E-03
  209    4.0141E+01   -2.9750E+01    1.8519E+01   -4.1380E-04   -4.8491E-03    6.7014E-03
  210    4.0926E+01   -2.8661E+01    2.0370E+01    2.8231E-04    4.4582E-03    7.1103E-03
  211    4.0141E+01   -2.9750E+01    1.2963E+01   -8.9983E-04   -4.2858E-03    7.1652E-03
  212    4.0926E+01   -2.8661E+01    1.4815E+01    7.2967E-04    4.0363E-03    7.4538E-03
  213    4.0141E+01   -2.9750E+01    7.4074E+00   -1.4795E-03   -3.2819E-03    8.4289E-03
  214    4.0926E+01   -2.8661E+01    9.2593E+00    1.2567E-03    3.2205E-03    8.3808E-03
  215    4.0141E+01   -2.9750E+01    1.8519E+00   -1.3987E-03   -1.6658E-03    1.3013E-02
  216    4.0926E+01   -2.8661E+01    3.7037E+00    1.6067E-03    1.8735E-03    1.1144E-02
  217    4.2405E+01   -2.6424E+01    4.6296E+01    1.7646E-03   -1.5638E-03    1.2085E-02
  218    4.3100E+01   -2.5275E+01    4.8148E+01   -1.3575E-03    5.6280E-04    1.5438E-02
  219    4.2405E+01   -2.6424E+01    4.0741E+01    1.4438E-03   -2.7005E-03    8.9181E-03
  220    4.3100E+01   -2.5275E+01    4.2593E+01   -1.6147E-03    1.9730E-03    1.0034E-02
  221    4.2405E+01   -2.6424E+01    3.5185E+01    9.0599E-04   -3.4440E-03    7.7882E-03
