 *************************************************************************
 ************		    DDFS3D_qua_part1		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Times of iteration:        94
 Computing time    :     40.89 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
  138    3.2366E+01   -3.8058E+01    2.5000E+01   -5.8193E-03   -4.0843E+00    1.4763E+00
  139    3.2366E+01   -3.8058E+01    2.0455E+01    2.2282E-02   -4.0586E+00    1.4526E+00
  140    3.2366E+01   -3.8058E+01    1.5909E+01    5.5836E-03   -3.9700E+00    1.3905E+00
  141    3.2366E+01   -3.8058E+01    1.1364E+01   -9.2909E-02   -3.7770E+00    1.3309E+00
  142    3.2366E+01   -3.8058E+01    6.8182E+00   -2.8575E-01   -3.4172E+00    1.3726E+00
  143    3.2366E+01   -3.8058E+01    2.2727E+00   -4.6629E-01   -2.8387E+00    1.8152E+00
  144    3.5323E+01   -3.5330E+01    4.7727E+01    4.5041E-01   -2.3087E+00    3.0325E+00
  145    3.5323E+01   -3.5330E+01    4.3182E+01    3.7650E-01   -2.8155E+00    2.2091E+00
  146    3.5323E+01   -3.5330E+01    3.8636E+01    1.9782E-01   -3.1475E+00    1.9857E+00
  147    3.5323E+01   -3.5330E+01    3.4091E+01    7.9141E-02   -3.3394E+00    1.9353E+00
  148    3.5323E+01   -3.5330E+01    2.9545E+01    2.0150E-02   -3.4341E+00    1.9370E+00
  149    3.5323E+01   -3.5330E+01    2.5000E+01   -4.9355E-03   -3.4615E+00    1.9429E+00
  150    3.5323E+01   -3.5330E+01    2.0455E+01   -3.0249E-02   -3.4317E+00    1.9397E+00
  151    3.5323E+01   -3.5330E+01    1.5909E+01   -8.9776E-02   -3.3346E+00    1.9413E+00
  152    3.5323E+01   -3.5330E+01    1.1364E+01   -2.0889E-01   -3.1406E+00    1.9963E+00
  153    3.5323E+01   -3.5330E+01    6.8182E+00   -3.8724E-01   -2.8075E+00    2.2268E+00
  154    3.5323E+01   -3.5330E+01    2.2727E+00   -4.5558E-01   -2.2998E+00    3.0626E+00
  155    3.8052E+01   -3.2373E+01    4.7727E+01    4.2851E-01   -1.8789E+00    4.1256E+00
  156    3.8052E+01   -3.2373E+01    4.3182E+01    4.4466E-01   -2.3210E+00    2.9737E+00
  157    3.8052E+01   -3.2373E+01    3.8636E+01    2.7926E-01   -2.6213E+00    2.5989E+00
  158    3.8052E+01   -3.2373E+01    3.4091E+01    1.4829E-01   -2.8051E+00    2.4570E+00
  159    3.8052E+01   -3.2373E+01    2.9545E+01    5.9654E-02   -2.9012E+00    2.4073E+00
  160    3.8052E+01   -3.2373E+01    2.5000E+01   -3.8149E-03   -2.9300E+00    2.3965E+00
  161    3.8052E+01   -3.2373E+01    2.0455E+01   -6.7403E-02   -2.8990E+00    2.4098E+00
  162    3.8052E+01   -3.2373E+01    1.5909E+01   -1.5628E-01   -2.8009E+00    2.4625E+00
  163    3.8052E+01   -3.2373E+01    1.1364E+01   -2.8728E-01   -2.6156E+00    2.6085E+00
  164    3.8052E+01   -3.2373E+01    6.8182E+00   -4.5173E-01   -2.3148E+00    2.9895E+00
  165    3.8052E+01   -3.2373E+01    2.2727E+00   -4.2792E-01   -1.8724E+00    4.1501E+00
  166    4.0534E+01   -2.9206E+01    4.7727E+01    3.9700E-01   -1.5299E+00    5.0829E+00
  167    4.0534E+01   -2.9206E+01    4.3182E+01    4.8712E-01   -1.9131E+00    3.6555E+00
  168    4.0534E+01   -2.9206E+01    3.8636E+01    3.3343E-01   -2.1789E+00    3.1584E+00
  169    4.0534E+01   -2.9206E+01    3.4091E+01    1.9577E-01   -2.3482E+00    2.9437E+00
  170    4.0534E+01   -2.9206E+01    2.9545E+01    8.7467E-02   -2.4402E+00    2.8529E+00
  171    4.0534E+01   -2.9206E+01    2.5000E+01   -2.5365E-03   -2.4685E+00    2.8286E+00
  172    4.0534E+01   -2.9206E+01    2.0455E+01   -9.2596E-02   -2.4383E+00    2.8551E+00
  173    4.0534E+01   -2.9206E+01    1.5909E+01   -2.0098E-01   -2.3446E+00    2.9485E+00
  174    4.0534E+01   -2.9206E+01    1.1364E+01   -3.3847E-01   -2.1744E+00    3.1667E+00
  175    4.0534E+01   -2.9206E+01    6.8182E+00   -4.9087E-01   -1.9089E+00    3.6689E+00
  176    4.0534E+01   -2.9206E+01    2.2727E+00   -3.9190E-01   -1.5270E+00    5.1021E+00
  177    4.2752E+01   -2.5849E+01    4.7727E+01    3.6072E-01   -1.2412E+00    5.9181E+00
  178    4.2752E+01   -2.5849E+01    4.3182E+01    5.1207E-01   -1.5698E+00    4.2587E+00
  179    4.2752E+01   -2.5849E+01    3.8636E+01    3.6826E-01   -1.8000E+00    3.6625E+00
  180    4.2752E+01   -2.5849E+01    3.4091E+01    2.2737E-01   -1.9508E+00    3.3898E+00
  181    4.2752E+01   -2.5849E+01    2.9545E+01    1.0650E-01   -2.0350E+00    3.2665E+00
  182    4.2752E+01   -2.5849E+01    2.5000E+01   -1.1624E-03   -2.0614E+00    3.2315E+00
  183    4.2752E+01   -2.5849E+01    2.0455E+01   -1.0885E-01   -2.0334E+00    3.2683E+00
  184    4.2752E+01   -2.5849E+01    1.5909E+01   -2.2973E-01   -1.9479E+00    3.3937E+00
  185    4.2752E+01   -2.5849E+01    1.1364E+01   -3.7042E-01   -1.7966E+00    3.6693E+00
  186    4.2752E+01   -2.5849E+01    6.8182E+00   -5.1306E-01   -1.5674E+00    4.2698E+00
  187    4.2752E+01   -2.5849E+01    2.2727E+00   -3.5313E-01   -1.2419E+00    5.9335E+00
  188    4.4694E+01   -2.2325E+01    4.7727E+01    3.2363E-01   -9.9738E-01    6.6397E+00
  189    4.4694E+01   -2.2325E+01    4.3182E+01    5.2566E-01   -1.2745E+00    4.7855E+00
  190    4.4694E+01   -2.2325E+01    3.8636E+01    3.8976E-01   -1.4692E+00    4.1089E+00
  191    4.4694E+01   -2.2325E+01    3.4091E+01    2.4766E-01   -1.5991E+00    3.7903E+00
  192    4.4694E+01   -2.2325E+01    2.9545E+01    1.1915E-01   -1.6730E+00    3.6415E+00
  193    4.4694E+01   -2.2325E+01    2.5000E+01    2.5947E-04   -1.6965E+00    3.5981E+00
  194    4.4694E+01   -2.2325E+01    2.0455E+01   -1.1864E-01   -1.6717E+00    3.6429E+00
  195    4.4694E+01   -2.2325E+01    1.5909E+01   -2.4716E-01   -1.5968E+00    3.7932E+00
  196    4.4694E+01   -2.2325E+01    1.1364E+01   -3.8913E-01   -1.4667E+00    4.1141E+00
  197    4.4694E+01   -2.2325E+01    6.8182E+00   -5.2421E-01   -1.2736E+00    4.7943E+00
  198    4.4694E+01   -2.2325E+01    2.2727E+00   -3.1513E-01   -1.0012E+00    6.6522E+00
  199    4.6345E+01   -1.8656E+01    4.7727E+01    2.8945E-01   -7.8679E-01    7.2519E+00
  200    4.6345E+01   -1.8656E+01    4.3182E+01    5.3236E-01   -1.0145E+00    5.2361E+00
